name,category,rarity,value,capacity,how_to_get,icon
Potion,Healing & Buffs,1,7,10,Combine Herb and Blue Mushroom,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Medicine_Icon_Green.png
Mega Potion,Healing & Buffs,2,16,10,Combine Potion and Honey,https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Medicine_Icon_Green.png
Nutrients,Healing & Buffs,2,25,5,Combine Blue Mushroom and Godbug,https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png
Mega Nutrients,Healing & Buffs,3,92,5,Combine Nutrients and Honey,https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png
Antidote,Healing & Buffs,1,6,10,Combine Antidote Herb and Blue Mushroom,https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Medicine_Icon_Blue.png
Immunizer,Healing & Buffs,3,92,10,Combine Catalyst and Dragon Toadstool,https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png
Dash Juice,Healing & Buffs,2,29,5,Combine Catalyst and Rare Steak,https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png
Mega Dash Juice,Healing & Buffs,3,205,5,Combine Well-Done Steak and Dash Extract,https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png
Demondrug,Healing & Buffs,4,67,5,Combine Catalyst and Might Seed,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png
Mega Demondrug,Healing & Buffs,5,283,5,Combine Demondrug and Pale Extract,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png
Might Pill,Healing & Buffs,1,280,5,Combine Immunizer and Might Seed,https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Armorskin,Healing & Buffs,4,58,5,Combine Catalyst and Adamant Seed,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Medicine_Icon_Orange.png
Mega Armorskin,Healing & Buffs,5,269,5,Combine Armorskin and Pale Extract,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Medicine_Icon_Orange.png
Adamant Pill,Healing & Buffs,1,260,5,Combine Immunizer and Adamant Seed,https://static.wikia.nocookie.net/monsterhunter/images/6/6b/MH4G-Sac_Icon_Orange.png
Cool Drink,Healing & Buffs,1,30,5,Combine Ice Crystal and Bitterbug,https://static.wikia.nocookie.net/monsterhunter/images/2/26/MH4G-Medicine_Icon_White.png
Hot Drink,Healing & Buffs,1,25,5,Combine Hot Pepper and Bitterbug,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png
Cleanser,Healing & Buffs,2,14,10,Combine Catalyst and Popfish,https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png
Psychoserum,Healing & Buffs,3,30,10,Trader,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Medicine_Icon_Orange.png
Herbal Medicine,Healing & Buffs,2,25,10,Combine Gloamgrass Root and Bitterbug,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png
Max Potion,Healing & Buffs,3,210,2,Combine Mega Nutrients and Dragon Toadstool,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Ancient Potion,Healing & Buffs,5,345,1,Combine Immunizer and Kelbi Horn,https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Energy Drink,Healing & Buffs,2,5,10,Combine Honey and Nitroshroom,https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png
Lifepowder,Healing & Buffs,4,315,3,Combine Lifecrystals and Wyvern Claw,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png
Dust of Life,Healing & Buffs,5,1005,2,Trade 15 Horns Coins (HR 11 required),https://static.wikia.nocookie.net/monsterhunter/images/f/f9/MH4G-Sac_Icon_Green.png
Hunter's Drink,Healing & Buffs,5,350,3,Combine Hyper Extract and Catalyst,https://static.wikia.nocookie.net/monsterhunter/images/f/fb/FourthGen-Medicine_Icon_Dark_Red.png
Deodorant,Healing & Buffs,2,8,10,Combine Bomb Casing and Bitterbug,https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Smoke_Icon_Light_Blue.png
Book of Combos 1,Tools,4,100,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Book_Icon_Grey.png
Book of Combos 2,Tools,4,200,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Book_Icon_Grey.png
Book of Combos 3,Tools,4,500,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/a/ab/MH4G-Book_Icon_White.png
Book of Combos 4,Tools,5,1000,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/a/ab/MH4G-Book_Icon_White.png
Book of Combos 5,Tools,5,1500,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/4/48/MH4G-Book_Icon_Yellow.png
Binoculars,Tools,1,5,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/e/e2/MH4G-Binoculars_Icon_White.png
Catalyst,Tools,2,48,5,Combine Honey and Bitterbug,https://static.wikia.nocookie.net/monsterhunter/images/1/13/MH4G-Sac_Icon_Grey.png
Gunpowder,Tools,2,45,20,Combine Fire Herb and Nitroshroom,https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Lifecrystals,Tools,3,59,3,Combine Godbug and Wyvern Fang,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png
Tranquilizer,Tools,4,15,10,Combine Sleep Herb and Parashroom,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png
Yukumo Egg,Tools,1,1,5,Given by Bath Cattendant at Yukumo Footbath,https://static.wikia.nocookie.net/monsterhunter/images/a/a8/MH4G-Egg_Icon_White.png
Tanzia Chips,Tools,2,10,5,Given by Tanzia Port Boss at Yukumo Footbath,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png
Powercharm,Tools,5,3600,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Powertalon,Tools,5,6840,1,Combine Powercharm and Deviljho Talon,https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Claw_Icon_Red.png
Armorcharm,Tools,5,2400,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/6/6b/MH4G-Sac_Icon_Orange.png
Armortalon,Tools,5,5040,1,Combine Armorcharm and Deviljho Talon,https://static.wikia.nocookie.net/monsterhunter/images/4/46/MH4G-Claw_Icon_Orange.png
BBQ Spit,Tools,4,56,1,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/5/51/MH4G-BBQ_Icon_Red.png
Raw Meat,Tools,1,5,10,"Carve Aptonoth, Gargwa, Kelbi, Popo, Rhenoplos, or Slagtoth",https://static.wikia.nocookie.net/monsterhunter/images/f/f1/MH4G-Meat_Icon_Red.png
Poisoned Meat,Tools,1,19,10,Combine Raw Meat and Toadstool,https://static.wikia.nocookie.net/monsterhunter/images/f/fa/MH4G-Meat_Icon_Purple.png
Tinged Meat,Tools,2,30,10,Combine Raw Meat and Parashroom,https://static.wikia.nocookie.net/monsterhunter/images/d/d9/MH4G-Meat_Icon_Yellow.png
Drugged Meat,Tools,1,32,10,Combine Raw Meat and Sleep Herb,https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Meat_Icon_Light_Blue.png
Rare Steak,Tools,1,3,10,Cook Raw Meat,https://static.wikia.nocookie.net/monsterhunter/images/e/ea/MH4G-Meat_Icon_Orange.png
Well-done Steak,Tools,2,48,10,Cook Raw Meat,https://static.wikia.nocookie.net/monsterhunter/images/e/ea/MH4G-Meat_Icon_Orange.png
Burnt Meat,Tools,1,1,10,Cook Raw Meat,https://static.wikia.nocookie.net/monsterhunter/images/5/56/MH4G-Meat_Icon_Grey.png
Chilled Meat,Tools,1,30,10,Combine Well-done Steak and Ice Crystal,https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Meat_Icon_Light_Blue.png
Hot Meat,Tools,1,25,10,Combine Well-done Steak and Hot Pepper,https://static.wikia.nocookie.net/monsterhunter/images/f/f1/MH4G-Meat_Icon_Red.png
Mosswine Jerky,Tools,2,10,5,Given by Master Tool at Yukumo Footbath,https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Meat_Icon_Pink.png
Kingmeat,Tools,6,550,99,"Reward from Village Quest ""Advanced: Jurassic Treasure""",https://static.wikia.nocookie.net/monsterhunter/images/e/ea/MH4G-Meat_Icon_Orange.png
Whetstone,Tools,1,8,20,Buy from the Item Shop or gather in most areas,https://static.wikia.nocookie.net/monsterhunter/images/f/f3/MH4G-Whetstone_Icon_Yellow.png
Old Pickaxe,Tools,1,6,5,Combine Stone and Mystery Bone,https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Pickaxe_Icon_Grey.png
Iron Pickaxe,Tools,1,16,5,Combine Iron Ore and Mystery Bone,https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Pickaxe_Icon_White.png
Mega Pickaxe,Tools,3,24,5,Combine Machalite Ore and Mystery Bone,https://static.wikia.nocookie.net/monsterhunter/images/c/cc/MH4G-Pickaxe_Icon_Yellow.png
Old Bug Net,Tools,1,3,5,Combine Ivy and Mystery Bone,https://static.wikia.nocookie.net/monsterhunter/images/8/84/MH4G-Bugnet_Icon_Grey.png
Bug Net,Tools,1,8,5,Combine Ivy and Monster Bone S,https://static.wikia.nocookie.net/monsterhunter/images/c/ce/MH4G-Bugnet_Icon_White.png
Mega Bug Net,Tools,3,12,5,Combine Ivy and Monster Bone M,https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Bugnet_Icon_Yellow.png
Boomerang,Tools,4,15,5,Combine Whetstone and Monster Bone S,https://static.wikia.nocookie.net/monsterhunter/images/3/3a/MH4G-Boomerang_Icon_Yellow.png
Bomb Casing,Tools,1,15,30,Combine Sap Plant and Stone or Sap Plant and Iron Ore,https://static.wikia.nocookie.net/monsterhunter/images/3/38/MH4G-Ball_Icon_White.png
Paintball,Tools,1,10,99,Combine Bomb Casing and Paintberry,https://static.wikia.nocookie.net/monsterhunter/images/2/25/MH4G-Ball_Icon_Pink.png
Flash Bomb,Tools,2,57,5,Combine Bomb Casing and Flashbug,https://static.wikia.nocookie.net/monsterhunter/images/1/16/MH4G-Ball_Icon_Yellow.png
Sonic Bomb,Tools,2,45,10,Combine Gunpowder and Screamer,https://static.wikia.nocookie.net/monsterhunter/images/5/5b/MH4G-Ball_Icon_Grey.png
Tranq Bomb,Tools,4,35,8,Combine Tranquilizer and Bomb Casing,https://static.wikia.nocookie.net/monsterhunter/images/3/35/MH4G-Ball_Icon_Red.png
Smoke Bomb,Tools,2,80,10,Combine Bomb Casing and Ivy,https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Smoke_Icon_White.png
Poison Smoke Bomb,Tools,2,60,10,Combine Bomb Casing and Toadstool or Bomb Casing and Poison Sac,https://static.wikia.nocookie.net/monsterhunter/images/d/d0/MH4G-Smoke_Icon_Purple.png
Farcaster,Tools,3,30,1,Combine Bomb Casing and Exciteshroom,https://static.wikia.nocookie.net/monsterhunter/images/6/6f/MH4G-Smoke_Icon_Green.png
Dung Bomb,Tools,2,80,10,Combine Bomb Casing and Dung,https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Dung_Icon_Brown.png
Dung,Tools,1,1,10,"Search dung piles in Jurassic Frontier, Verdant Hills, Misty Peaks, Dunes, Deserted Island, Ancestral Steppe, Volcanic Hollow, Desert, and Jungle",https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Dung_Icon_Brown.png
Trap Tool,Tools,3,20,2,Buy from the Item Shop,https://static.wikia.nocookie.net/monsterhunter/images/a/ae/MH4G-Trap_Tool_Icon_Green.png
Spider Web,Tools,1,6,10,"Search spiderwebs in Jurassic Frontier, Verdant Hills, Misty Peaks, Dunes, Deserted Island, Marshlands, Ancestral Steppe, Volcanic Hollow, Primal Forest, and Jungle",https://static.wikia.nocookie.net/monsterhunter/images/e/ed/MH4G-Spiderweb_Icon_White.png
Net,Tools,2,54,10,Combine Spider Web and Ivy,https://static.wikia.nocookie.net/monsterhunter/images/e/ed/MH4G-Spiderweb_Icon_White.png
