icon,name,rarity,capacity,value,how_to_get,category
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Medicine_Icon_Green.png,Potion,1,10,7,Combine Herb and Blue Mushroom,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/9/90/MH4G-Medicine_Icon_Green.png,Mega Potion,2,10,16,Combine Potion and Honey,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png,Nutrients,2,5,25,Combine Blue Mushroom and Godbug,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png,Mega Nutrients,3,5,92,Combine Nutrients and Honey,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Medicine_Icon_Blue.png,Antidote,1,10,6,Combine Antidote Herb and Blue Mushroom,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png,Immunizer,3,10,92,Combine Catalyst and Dragon Toadstool,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png,Dash Juice,2,5,29,Combine Catalyst and Rare Steak,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png,Mega Dash Juice,3,5,205,Combine Well-Done Steak and Dash Extract,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png,Demondrug,4,5,67,Combine Catalyst and Might Seed,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png,Mega Demondrug,5,5,283,Combine Demondrug and Pale Extract,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png,Might Pill,1,5,280,Combine Immunizer and Might Seed,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Medicine_Icon_Orange.png,Armorskin,4,5,58,Combine Catalyst and Adamant Seed,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Medicine_Icon_Orange.png,Mega Armorskin,5,5,269,Combine Armorskin and Pale Extract,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/6/6b/MH4G-Sac_Icon_Orange.png,Adamant Pill,1,5,260,Combine Immunizer and Adamant Seed,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/2/26/MH4G-Medicine_Icon_White.png,Cool Drink,1,5,30,Combine Ice Crystal and Bitterbug,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png,Hot Drink,1,5,25,Combine Hot Pepper and Bitterbug,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png,Cleanser,2,10,14,Combine Catalyst and Popfish,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Medicine_Icon_Orange.png,Psychoserum,3,10,30,Trader,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png,Herbal Medicine,2,10,25,Combine Gloamgrass Root and Bitterbug,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png,Max Potion,3,2,210,Combine Mega Nutrients and Dragon Toadstool,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png,Ancient Potion,5,1,345,Combine Immunizer and Kelbi Horn,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png,Energy Drink,2,10,5,Combine Honey and Nitroshroom,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png,Lifepowder,4,3,315,Combine Lifecrystals and Wyvern Claw,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/f/f9/MH4G-Sac_Icon_Green.png,Dust of Life,5,2,1005,Trade 15 Horns Coins (HR 11 required),Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/f/fb/FourthGen-Medicine_Icon_Dark_Red.png,Hunter's Drink,5,3,350,Combine Hyper Extract and Catalyst,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Smoke_Icon_Light_Blue.png,Deodorant,2,10,8,Combine Bomb Casing and Bitterbug,Restoration & Enhancement
https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Book_Icon_Grey.png,Book of Combos 1,4,1,100,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/0/08/MH4G-Book_Icon_Grey.png,Book of Combos 2,4,1,200,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/ab/MH4G-Book_Icon_White.png,Book of Combos 3,4,1,500,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/ab/MH4G-Book_Icon_White.png,Book of Combos 4,5,1,1000,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/4/48/MH4G-Book_Icon_Yellow.png,Book of Combos 5,5,1,1500,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/e/e2/MH4G-Binoculars_Icon_White.png,Binoculars,1,1,5,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/13/MH4G-Sac_Icon_Grey.png,Catalyst,2,5,48,Combine Honey and Bitterbug,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png,Gunpowder,2,20,45,Combine Fire Herb and Nitroshroom,Tools
https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png,Lifecrystals,3,3,59,Combine Godbug and Wyvern Fang,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png,Tranquilizer,4,10,15,Combine Sleep Herb and Parashroom,Tools
https://static.wikia.nocookie.net/monsterhunter/images/a/a8/MH4G-Egg_Icon_White.png,Yukumo Egg,1,5,1,Given by Bath Cattendant at Yukumo Footbath,Tools
https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png,Tanzia Chips,2,5,10,Given by Tanzia Port Boss at Yukumo Footbath,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png,Powercharm,5,1,3600,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Claw_Icon_Red.png,Powertalon,5,1,6840,Combine Powercharm and Deviljho Talon,Tools
https://static.wikia.nocookie.net/monsterhunter/images/6/6b/MH4G-Sac_Icon_Orange.png,Armorcharm,5,1,2400,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/4/46/MH4G-Claw_Icon_Orange.png,Armortalon,5,1,5040,Combine Armorcharm and Deviljho Talon,Tools
https://static.wikia.nocookie.net/monsterhunter/images/5/51/MH4G-BBQ_Icon_Red.png,BBQ Spit,4,1,56,Buy from the Item Shop,Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f1/MH4G-Meat_Icon_Red.png,Raw Meat,1,10,5,"Carve Aptonoth, Gargwa, Kelbi, Popo, Rhenoplos, or Slagtoth",Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/fa/MH4G-Meat_Icon_Purple.png,Poisoned Meat,1,10,19,Combine Raw Meat and Toadstool,Tools
https://static.wikia.nocookie.net/monsterhunter/images/d/d9/MH4G-Meat_Icon_Yellow.png,Tinged Meat,2,10,30,Combine Raw Meat and Parashroom,Tools
https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Meat_Icon_Light_Blue.png,Drugged Meat,1,10,32,Combine Raw Meat and Sleep Herb,Tools
https://static.wikia.nocookie.net/monsterhunter/images/e/ea/MH4G-Meat_Icon_Orange.png,Rare Steak,1,10,3,Cook Raw Meat,Tools
https://static.wikia.nocookie.net/monsterhunter/images/e/ea/MH4G-Meat_Icon_Orange.png,Well-done Steak,2,10,48,Cook Raw Meat,Tools
https://static.wikia.nocookie.net/monsterhunter/images/5/56/MH4G-Meat_Icon_Grey.png,Burnt Meat,1,10,1,Cook Raw Meat,Tools
https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Meat_Icon_Light_Blue.png,Chilled Meat,1,10,30,Combine Well-done Steak and Ice Crystal,Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f1/MH4G-Meat_Icon_Red.png,Hot Meat,1,10,25,Combine Well-done Steak and Hot Pepper,Tools
https://static.wikia.nocookie.net/monsterhunter/images/1/17/MH4G-Meat_Icon_Pink.png,Mosswine Jerky,2,5,10,Given by Master Tool at Yukumo Footbath,Tools
https://static.wikia.nocookie.net/monsterhunter/images/e/ea/MH4G-Meat_Icon_Orange.png,Kingmeat,6,99,550,"Reward from Village Quest ""Advanced: Jurassic Treasure""",Tools
https://static.wikia.nocookie.net/monsterhunter/images/f/f3/MH4G-Whetstone_Icon_Yellow.png,Whetstone,1,20,8,Buy from the Item Shop or gather in most areas,Tools
https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Pickaxe_Icon_Grey.png,Old Pickaxe,1,5,6,Combine Stone and Mystery Bone,Tools
