icon,name,rarity,value,description,monster_name
https://static.wikia.nocookie.net/monsterhunter/images/8/8a/FourthGen-Shell_Icon_Pink.png,Giant Lobstershell,9,6540,A large shell from a King Lobster that was used as bait. Very rare.,Miscellaneous
https://static.wikia.nocookie.net/monsterhunter/images/1/14/MH4G-Hide_Icon_Dark_Green.png,Larinoth Finehide,8,630,The hide of the gigantic Larinoth. Lauded for its beautiful hues and all-around toughness.,Larinoth
https://static.wikia.nocookie.net/monsterhunter/images/d/de/MH4G-Webbing_Icon_Light_Blue.png,Gargwa Finefeather,8,1120,"A high quality feather plucked from a Gargwa. Stylish, and can be used to reinforce armor.",Gargwa
https://static.wikia.nocookie.net/monsterhunter/images/7/70/MH4G-Claw_Icon_Yellow.png,Moofah Heavyhorn,8,450,"The hefty horn of a Moofah. Resilient and easy to craft, it's a material with many uses.",Moofah
https://static.wikia.nocookie.net/monsterhunter/images/4/44/MH4G-Hide_Icon_Green.png,Prized Pelt,8,360,A quality pelt from a small animal. Often used in clothing for its comfort.,Kelbi
https://static.wikia.nocookie.net/monsterhunter/images/4/44/MH4G-Hide_Icon_Green.png,Prized Pelt,8,360,A quality pelt from a small animal. Often used in clothing for its comfort.,Anteka
https://static.wikia.nocookie.net/monsterhunter/images/4/46/MH4G-Claw_Icon_Orange.png,Anteka Proud Antler,8,520,A hefty antler that's valued by seasoned hunters and collectors alike.,Anteka
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Webbing_Icon_Yellow.png,Bnahabra Razorwing,8,675,A wing that slices like a well-honed knife. Difficult to use in forging.,Bnahabra
https://static.wikia.nocookie.net/monsterhunter/images/7/72/MH4G-Sac_Icon_Light_Green.png,Premium Stomach,8,1000,"A rare find, as Altaroth stomachs go. It can never be torn, or so they say.",Altaroth
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Webbing_Icon_Yellow.png,Vespoid Razorwing,8,1530,Much sharper than a Vespoid Innerwing. A simple graze is more than enough to cut.,Vespoid
https://static.wikia.nocookie.net/monsterhunter/images/0/07/MH4G-Webbing_Icon_Grey.png,Hornetaur Razorwing,8,1530,Much sharper than a Hornetaur Innerwing. A simple graze is more than enough to cut.,Hornetaur
https://static.wikia.nocookie.net/monsterhunter/images/7/78/FourthGen-Carapace_Icon_Brown.png,Konchu Cortex,8,960,A shield-like insect shell so hard that only a supreme craftsman can forge it.,Konchu
https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png,Shocking Extract,6,250,A concentrate of Thunderbug essence that releases an electrical discharge when struck.,Great Thunderbug
https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png,Shocking Jelly,8,1000,A gelatinous substance made from Great Thunderbugs. Easy to use and generates high voltage.,Great Thunderbug
https://static.wikia.nocookie.net/monsterhunter/images/4/40/MH4G-Hide_Icon_Grey.png,Remobra Finehide,8,1080,The highest quality in Remobra skins. It shines with a luster reminiscent of a black pearl.,Remobra
https://static.wikia.nocookie.net/monsterhunter/images/4/40/MH4G-Hide_Icon_Grey.png,Striped Finehide,8,1160,Classy Remobra stripes on a resilient hide--a winner in any hunter's book.,Remobra
https://static.wikia.nocookie.net/monsterhunter/images/e/e8/MH4G-Monster_Parts_Icon_Grey.png,Mighty Remobra Head,8,1500,The snake-like head of a Remobra. Being in its presence may induce mild panic.,Remobra
https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Scale_Icon_Dark_Green.png,Maccao Shard,8,330,An especially tough scale carved from a Maccao that offers resistance to vicious attacks.,Maccao
