icon,name,rarity,value,description,monster
https://static.wikia.nocookie.net/monsterhunter/images/2/21/MH4G-Scale_Icon_Red.png,Agnaktor Scale,6,1140,"A scale so bright that it looks like it's on fire. Not worth very much, though.",Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/9/9c/FourthGen-Carapace_Icon_Red.png,Agnaktor Carapace,6,1680,Sturdier and more heat-resistant than the Shell. It produces a vivid red color when crafted.,Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/3/32/MH4G-Hide_Icon_Red.png,Agnaktor Hide+,6,2100,"Precious, high-quality Agnaktor hide tempered by frequent exposure to magma.",Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Claw_Icon_Red.png,Agnaktor Claw+,6,2430,A claw sharpened by magma so hot it can melt rock. Almost as strong as a volcano itself.,Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/8/8b/MH4G-Monster_Parts_Icon_Red.png,Agnaktor Fin+,6,2340,An Agnaktor fin with an elegant dappled pattern. Apparently a popular item with collectors.,Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Bone_Icon_Red.png,Agnaktor Beak,6,4140,"An Agnaktor's distinguishing beak, which allows it to tunnel beneath the earth.",Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/8/8b/MH4G-Monster_Parts_Icon_Red.png,Agnaktor Tail,6,3750,A tail carved from an Agnaktor. The going price is low due to lack of demand.,Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/8/8b/MH4G-Monster_Parts_Icon_Red.png,Scalding Pleura+,6,2160,"A chestplate made from ore fusing together over a number of years. Won't melt, despite the heat.",Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/9/9c/FourthGen-Carapace_Icon_Red.png,Hyper Agnaktor Shell,(?),(?),"Darker than normal Agnaktor shell, this Hyper shell emits an ominous glow.",Agnaktor
https://static.wikia.nocookie.net/monsterhunter/images/f/f0/MH4G-Ore_Icon_Light_Blue.png,Wyvern Crystal,6,4300,A mysterious crystal that glows with the energy of both light and dark spirits.,Akantor
https://static.wikia.nocookie.net/monsterhunter/images/d/d3/MH4G-Scale_Icon_Grey.png,Akantor Scale+,6,4272,"Faintly glittering Akantor Scale. It will not melt, even if dipped in lava.",Akantor
https://static.wikia.nocookie.net/monsterhunter/images/1/1c/FourthGen-Carapace_Icon_Grey.png,Akantor Carapace,6,5580,"Shining Akantor Shell. Exceptionally hard, and thus difficult to craft.",Akantor
https://static.wikia.nocookie.net/monsterhunter/images/e/e8/MH4G-Monster_Parts_Icon_Grey.png,Akantor Tail,6,8000,The large rock-like tail of an Akantor. Strong enough to gouge the earth.,Akantor
https://static.wikia.nocookie.net/monsterhunter/images/5/5c/MH4G-Claw_Icon_Grey.png,Akantor Hardclaw,6,5700,Hard Akantor claw that can smash bedrock. Its victims are left unrecognizable.,Akantor
https://static.wikia.nocookie.net/monsterhunter/images/5/5c/MH4G-Claw_Icon_Grey.png,Akantor Tallfang,6,8500,Huge fang that can pierce the heavens. It has passed through many foes.,Akantor
https://static.wikia.nocookie.net/monsterhunter/images/e/e8/MH4G-Monster_Parts_Icon_Grey.png,Akantor Spike,6,9500,A flawless spike from an Akantor. It can easily scar rock.,Akantor
https://static.wikia.nocookie.net/monsterhunter/images/3/35/MH4G-Ball_Icon_Red.png,Akantor Gem,7,15000,A gem that once belonged to the Ancient World-King. Its aura resists new ownership.,Akantor
https://static.wikia.nocookie.net/monsterhunter/images/3/3e/MH4G-Hide_Icon_Blue.png,Arzuros Pelt,4,220,"A pelt carved from an Arzuros. The white portion is soft, while the blue is short and taut.",Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/3/3e/MH4G-Hide_Icon_Blue.png,Arzuros Pelt+,6,660,A splendid Arzuros pelt. Sturdy enough to survive in harsh mountainous terrain,Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Carapace_Icon_Blue.png,Arzuros Shell,4,270,A shell of piece from an Arzuro's head or back. Bends willingly and is easy to forge.,Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/1/14/FourthGen-Carapace_Icon_Blue.png,Arzuros Carapace,6,810,A quality Arzuros carapace. The thick shell can withstand bites from ordinary fangs.,Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Arzuros Brace,4,360,A brace from an Arzuro's foreleg. Its sharp portions give forged equipment a wild flavor.,Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/c/c2/MH4G-Monster_Parts_Icon_Blue.png,Arzuros Brace+,6,1080,A strong Arzuros brace. Its thorn-like protrusions make paw swipes deadly.,Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/3/32/MH4G-Hide_Icon_Red.png,Redhelm Pelt,6,310,A pelt hard enough to pierce flesh. Its looks embody the Redhelm Arzuros's brutality.,Redhelm Arzuros
https://static.wikia.nocookie.net/monsterhunter/images/3/32/MH4G-Hide_Icon_Red.png,Redhelm Pelt+,7,930,A quality pelt that's hard and durable. Epitomizes the Redhelm's viciousness.,Redhelm Arzuros
