name,armor_set_id,min_defense,max_defense,fire,ice,thunder,water,dragon,rarity,hunter_type,wearable_by,num_slots
Hunting Helm,0,2,50,1,0,0,0,0,1,blademaster,both,1
Hunting Mail,0,2,50,1,0,0,0,0,1,blademaster,both,0
Hunting Braces,0,2,50,1,0,0,0,0,1,blademaster,both,0
Hunting Faulds,0,2,50,1,0,0,0,0,1,blademaster,both,1
Hunting Greaves,0,2,50,1,0,0,0,0,1,blademaster,both,2
Hunter's Helm,1,6,54,0,0,0,0,0,1,blademaster,both,0
Hunter's Mail,1,6,54,0,0,0,0,0,1,blademaster,both,1
Hunter's Vambraces,1,6,54,0,0,0,0,0,1,blademaster,both,1
Hunter's Faulds,1,6,54,0,0,0,0,0,1,blademaster,both,1
Hunter's Greaves,1,6,54,0,0,0,0,0,1,blademaster,both,2
Bone Helm,2,6,54,0,-1,0,0,0,1,blademaster,both,1
Bone Mail,2,6,54,0,-1,0,0,0,1,blademaster,both,0
Bone Vambraces,2,6,54,0,-1,0,0,0,1,blademaster,both,2
Bone Faulds,2,6,54,0,-1,0,0,0,1,blademaster,both,2
Bone Greaves,2,6,54,0,-1,0,0,0,1,blademaster,both,0
Chaoshroom,3,6,54,2,0,0,-2,0,1,blademaster,both,1
Chaos Plate,3,6,54,2,0,0,-2,0,1,blademaster,both,2
Trapper's Gauntlets,4,6,54,0,0,0,1,0,1,blademaster,both,1
Trapper's Greaves,4,6,54,0,0,0,1,0,1,blademaster,both,0
Maccao Gauntlets,5,6,54,0,0,1,0,0,1,blademaster,both,0
Maccao Shinguards,5,6,54,0,0,1,0,0,1,blademaster,both,2
Jaggi Gauntlets,6,6,54,0,1,0,0,0,1,blademaster,both,0
Jaggi Shinguards,6,6,54,0,1,0,0,0,1,blademaster,both,2
Jaggi Helm,7,6,54,-2,0,0,0,0,1,blademaster,both,0
Jaggi Mail,7,6,54,-2,0,0,0,0,1,blademaster,both,0
Jaggi Vambraces,7,6,54,-2,0,0,0,0,1,blademaster,both,1
Jaggi Faulds,7,6,54,-2,0,0,0,0,1,blademaster,both,1
Jaggi Greaves,7,6,54,-2,0,0,0,0,1,blademaster,both,1
Maccao Helm,8,8,56,-2,0,0,0,0,1,blademaster,both,1
Maccao Mail,8,8,56,-2,0,0,0,0,1,blademaster,both,0
Maccao Braces,8,8,56,-2,0,0,0,0,1,blademaster,both,2
Maccao Faulds,8,8,56,-2,0,0,0,0,1,blademaster,both,1
Maccao Greaves,8,8,56,-2,0,0,0,0,1,blademaster,both,1
Velociprey Helm,9,8,56,0,-2,0,0,0,1,blademaster,both,1
Velociprey Mail,9,8,56,0,-2,0,0,0,1,blademaster,both,0
Velociprey Braces,9,8,56,0,-2,0,0,0,1,blademaster,both,1
Velociprey Tassets,9,8,56,0,-2,0,0,0,1,blademaster,both,1
Velociprey Greaves,9,8,56,0,-2,0,0,0,1,blademaster,both,2
Giaprey Helm,10,8,56,0,2,-1,0,0,1,blademaster,both,0
Giaprey Mail,10,8,56,0,2,-1,0,0,1,blademaster,both,0
Giaprey Vambraces,10,8,56,0,2,-1,0,0,1,blademaster,both,1
Giaprey Tassets,10,8,56,0,2,-1,0,0,1,blademaster,both,1
Giaprey Greaves,10,8,56,0,2,-1,0,0,1,blademaster,both,3
Genprey Helm,11,10,58,0,-2,1,0,0,1,blademaster,both,2
Genprey Mail,11,10,58,0,-2,1,0,0,1,blademaster,both,0
Genprey Vambraces,11,10,58,0,-2,1,0,0,1,blademaster,both,1
Genprey Tassets,11,10,58,0,-2,1,0,0,1,blademaster,both,2
Genprey Greaves,11,10,58,0,-2,1,0,0,1,blademaster,both,0
Vespoid Helm,12,10,58,-2,1,1,1,2,1,blademaster,both,2
Vespoid Mail,12,10,58,-2,1,1,1,2,1,blademaster,both,1
Vespoid Vambraces,12,10,58,-2,1,1,1,2,1,blademaster,both,1
Vespoid Tassets,12,10,58,-2,1,1,1,2,1,blademaster,both,0
Vespoid Greaves,12,10,58,-2,1,1,1,2,1,blademaster,both,2
Hornetaur Helm,13,10,58,-1,-1,-1,-1,4,1,blademaster,both,1
Hornetaur Mail,13,10,58,-1,-1,-1,-1,4,1,blademaster,both,0
Hornetaur Braces,13,10,58,-1,-1,-1,-1,4,1,blademaster,both,2
Hornetaur Tassets,13,10,58,-1,-1,-1,-1,4,1,blademaster,both,1
Hornetaur Greaves,13,10,58,-1,-1,-1,-1,4,1,blademaster,both,1
Bnahabra Hat,14,10,58,-2,0,0,0,2,1,blademaster,both,1
Bnahabra Suit,14,10,58,-2,0,0,0,2,1,blademaster,both,1
Bnahabra Gloves,14,10,58,-2,0,0,0,2,1,blademaster,both,1
Bnahabra Coil,14,10,58,-2,0,0,0,2,1,blademaster,both,0
Bnahabra Boots,14,10,58,-2,0,0,0,2,1,blademaster,both,0
Konchu Helm,15,12,60,0,1,1,1,1,1,blademaster,both,2
Konchu Braces,15,12,60,0,1,1,1,1,1,blademaster,both,0
Rhenoplos Helm,16,12,60,2,-2,0,0,0,1,blademaster,both,0
Rhenoplos Mail,16,12,60,2,-2,0,0,0,1,blademaster,both,0
Rhenoplos Vambraces,16,12,60,2,-2,0,0,0,1,blademaster,both,2
Rhenoplos Coil,16,12,60,2,-2,0,0,0,1,blademaster,both,1
Rhenoplos Greaves,16,12,60,2,-2,0,0,0,1,blademaster,both,0
Bulldrome Helm,17,12,60,0,1,-2,2,0,1,blademaster,both,1
Bulldrome Mail,17,12,60,0,1,-2,2,0,1,blademaster,both,1
Bulldrome Braces,17,12,60,0,1,-2,2,0,1,blademaster,both,1
Bulldrome Faulds,17,12,60,0,1,-2,2,0,1,blademaster,both,1
Bulldrome Greaves,17,12,60,0,1,-2,2,0,1,blademaster,both,1
Arzuros Helm,18,14,62,-2,0,-2,0,0,1,blademaster,both,2
Arzuros Mail,18,14,62,-2,0,-2,0,0,1,blademaster,both,0
Arzuros Vambraces,18,14,62,-2,0,-2,0,0,1,blademaster,both,0
Arzuros Faulds,18,14,62,-2,0,-2,0,0,1,blademaster,both,3
Arzuros Greaves,18,14,62,-2,0,-2,0,0,1,blademaster,both,0
Cephalos Helm,19,14,62,2,-3,0,0,0,1,blademaster,both,1
Cephalos Mail,19,14,62,2,-3,0,0,0,1,blademaster,both,1
Cephalos Braces,19,14,62,2,-3,0,0,0,1,blademaster,both,1
Cephalos Tassets,19,14,62,2,-3,0,0,0,1,blademaster,both,1
Cephalos Greaves,19,14,62,2,-3,0,0,0,1,blademaster,both,2
Hunting Cap,19,1,25,2,0,0,0,0,1,gunner,both,1
Hunting Vest,19,1,25,2,0,0,0,0,1,gunner,both,0
Hunting Guards,19,1,25,2,0,0,0,0,1,gunner,both,0
Hunting Coat,19,1,25,2,0,0,0,0,1,gunner,both,1
Hunting Leggings,19,1,25,2,0,0,0,0,1,gunner,both,2
Hunter's Cap,20,3,27,0,0,0,0,0,1,gunner,both,0
Hunter's Vest,20,3,27,0,0,0,0,0,1,gunner,both,1
Hunter's Guards,20,3,27,0,0,0,0,0,1,gunner,both,1
Hunter's Coat,20,3,27,0,0,0,0,0,1,gunner,both,1
Hunter's Leggings,20,3,27,0,0,0,0,0,1,gunner,both,2
Bone Cap,21,3,27,0,-1,0,0,0,1,gunner,both,1
Bone Vest,21,3,27,0,-1,0,0,0,1,gunner,both,0
Bone Guards,21,3,27,0,-1,0,0,0,1,gunner,both,2
Bone Coat,21,3,27,0,-1,0,0,0,1,gunner,both,2
Bone Leggings,21,3,27,0,-1,0,0,0,1,gunner,both,0
Chaos Diadem,22,3,27,2,0,0,-2,0,1,gunner,both,1
Chaos Brigandine,22,3,27,2,0,0,-2,0,1,gunner,both,2
Trapper's Gloves,23,3,27,0,0,0,1,0,1,gunner,both,1
Trapper's Boots,23,3,27,0,0,0,1,0,1,gunner,both,0
Maccao Gloves,24,3,27,0,0,1,0,0,1,gunner,both,0
Maccao Boots,24,3,27,0,0,1,0,0,1,gunner,both,2
Jaggi Gloves,25,3,27,0,1,0,0,0,1,gunner,both,0
Jaggi Boots,25,3,27,0,1,0,0,0,1,gunner,both,2
Jaggi Cap,26,3,27,-2,0,0,0,0,1,gunner,both,0
Jaggi Vest,26,3,27,-2,0,0,0,0,1,gunner,both,0
Jaggi Guards,26,3,27,-2,0,0,0,0,1,gunner,both,1
Jaggi Coat,26,3,27,-2,0,0,0,0,1,gunner,both,1
Jaggi Leggings,26,3,27,-2,0,0,0,0,1,gunner,both,1
Maccao Cap,27,4,28,-2,1,1,1,1,1,gunner,both,1
Maccao Vest,27,4,28,-2,1,1,1,1,1,gunner,both,0
Maccao Guards,27,4,28,-2,1,1,1,1,1,gunner,both,2
Maccao Coat,27,4,28,-2,1,1,1,1,1,gunner,both,1
Maccao Leggings,27,4,28,-2,1,1,1,1,1,gunner,both,1
Velociprey Cap,28,4,28,0,-2,1,1,0,1,gunner,both,1
Velociprey Vest,28,4,28,0,-2,1,1,0,1,gunner,both,0
Velociprey Guards,28,4,28,0,-2,1,1,0,1,gunner,both,1
Velociprey Coat,28,4,28,0,-2,1,1,0,1,gunner,both,1
Velociprey Leggings,28,4,28,0,-2,1,1,0,1,gunner,both,2
Giaprey Cap,29,4,28,0,3,-1,0,0,1,gunner,both,0
Giaprey Vest,29,4,28,0,3,-1,0,0,1,gunner,both,0
Giaprey Guards,29,4,28,0,3,-1,0,0,1,gunner,both,1
Giaprey Coat,29,4,28,0,3,-1,0,0,1,gunner,both,1
Giaprey Leggings,29,4,28,0,3,-1,0,0,1,gunner,both,3
Genprey Cap,30,5,29,1,-2,2,0,0,1,gunner,both,2
Genprey Vest,30,5,29,1,-2,2,0,0,1,gunner,both,0
Genprey Guards,30,5,29,1,-2,2,0,0,1,gunner,both,1
Genprey Coat,30,5,29,1,-2,2,0,0,1,gunner,both,2
Genprey Leggings,30,5,29,1,-2,2,0,0,1,gunner,both,0
Vespoid Cap,31,5,29,-2,2,2,2,3,1,gunner,both,2
Vespoid Vest,31,5,29,-2,2,2,2,3,1,gunner,both,1
Vespoid Guards,31,5,29,-2,2,2,2,3,1,gunner,both,1
Vespoid Coat,31,5,29,-2,2,2,2,3,1,gunner,both,0
Vespoid Leggings,31,5,29,-2,2,2,2,3,1,gunner,both,2
Hornetaur Cap,32,5,29,-1,-1,-1,-1,6,1,gunner,both,1
Hornetaur Vest,32,5,29,-1,-1,-1,-1,6,1,gunner,both,0
Hornetaur Guards,32,5,29,-1,-1,-1,-1,6,1,gunner,both,2
Hornetaur Coat,32,5,29,-1,-1,-1,-1,6,1,gunner,both,1
Hornetaur Leggings,32,5,29,-1,-1,-1,-1,6,1,gunner,both,1
Bnahabra Headpiece,33,5,29,-2,1,1,1,3,1,gunner,both,1
Bnahabra Vest,33,5,29,-2,1,1,1,3,1,gunner,both,1
Bnahabra Sleeves,33,5,29,-2,1,1,1,3,1,gunner,both,1
Bnahabra Coat,33,5,29,-2,1,1,1,3,1,gunner,both,0
Bnahabra Pants,33,5,29,-2,1,1,1,3,1,gunner,both,0
Konchu Cap,34,6,30,0,2,2,2,2,1,gunner,both,2
Konchu Guards,34,6,30,0,2,2,2,2,1,gunner,both,0
Rhenoplos Cap,35,6,30,3,-2,0,0,0,1,gunner,both,0
Rhenoplos Vest,35,6,30,3,-2,0,0,0,1,gunner,both,0
Rhenoplos Guards,35,6,30,3,-2,0,0,0,1,gunner,both,2
Rhenoplos Coat,35,6,30,3,-2,0,0,0,1,gunner,both,1
Rhenoplos Leggings,35,6,30,3,-2,0,0,0,1,gunner,both,0
Bulldrome Cap,36,6,30,0,1,-2,3,0,1,gunner,both,1
Bulldrome Vest,36,6,30,0,1,-2,3,0,1,gunner,both,1
Bulldrome Guards,36,6,30,0,1,-2,3,0,1,gunner,both,1
Bulldrome Coat,36,6,30,0,1,-2,3,0,1,gunner,both,1
