skill_tree,armor,armor_set_id,points
Psychic,Hunting Helm,0,3
Psychic,Hunting Mail,0,2
Psychic,Hunting Braces,0,5
Speed Setup,Hunting Faulds,0,3
Speed Setup,Hunting Greaves,0,3
Speed Setup,Hunter's Helm,1,2
Ranger,Hunter's Helm,1,3
Speed Setup,Hunter's Mail,1,2
Speed Setup,Hunter's Vambraces,1,3
Ranger,Hunter's Faulds,1,6
Ranger,Hunter's Greaves,1,1
KO,Bone Helm,2,4
KO,Bone Mail,2,2
Maestro,Bone Mail,2,4
KO,Bone Vambraces,2,2
KO,Bone Faulds,2,2
Maestro,Bone Greaves,2,6
Status,Chaoshroom,3,3
Status,Chaos Plate,3,2
Botany,Trapper's Gauntlets,4,3
Botany,Trapper's Greaves,4,5
Stam Drain,Maccao Gauntlets,5,4
Stam Drain,Maccao Shinguards,5,3
Expert,Jaggi Gauntlets,6,4
Expert,Jaggi Shinguards,6,3
Attack,Jaggi Helm,7,3
Fire Atk,Jaggi Helm,7,1
Defense,Jaggi Helm,7,-2
Attack,Jaggi Mail,7,3
Defense,Jaggi Mail,7,-2
Fire Atk,Jaggi Vambraces,7,3
Attack,Jaggi Faulds,7,4
Defense,Jaggi Faulds,7,-2
Fire Atk,Jaggi Greaves,7,2
Vault,Maccao Helm,8,3
Vault,Maccao Mail,8,4
Stam Drain,Maccao Mail,8,1
Vault,Maccao Braces,8,1
Stam Drain,Maccao Faulds,8,2
Vault,Maccao Greaves,8,2
Stun,Velociprey Helm,9,3
Paralysis,Velociprey Helm,9,-3
Stun,Velociprey Mail,9,4
Paralysis,Velociprey Mail,9,-4
Water Atk,Velociprey Braces,9,4
Water Atk,Velociprey Tassets,9,4
Stun,Velociprey Greaves,9,3
Paralysis,Velociprey Greaves,9,-3
Ice Atk,Giaprey Helm,10,3
Bind Res,Giaprey Helm,10,3
Sleep,Giaprey Helm,10,-3
Ice Atk,Giaprey Mail,10,5
Bind Res,Giaprey Vambraces,10,2
Sleep,Giaprey Vambraces,10,-2
Bind Res,Giaprey Tassets,10,5
