result,first_ingredient,second_ingredient,success_chance,amount_crafted,affected_by
Potion,Herb,Blue Mushroom,95,"[{'quantity': 1, 'chance': 100}]",
Mega Potion,Potion,Honey,90,"[{'quantity': 1, 'chance': 100}]",
First-aid Med+,First-aid Med,Honey,90,"[{'quantity': 1, 'chance': 100}]",
Nutrients,Godbug,Blue Mushroom,90,"[{'quantity': 1, 'chance': 100}]",
Mega Nutrients,Nutrients,Honey,75,"[{'quantity': 1, 'chance': 100}]",
Antidote,Blue Mushroom,Antidote Herb,95,"[{'quantity': 1, 'chance': 100}]",
Herbal Medicine,Bitterbug,Gloamgrass Root,90,"[{'quantity': 1, 'chance': 100}]",
Max Potion,Dragon Toadstool,Mega Nutrients,65,"[{'quantity': 1, 'chance': 100}]",
Ancient Potion,Immunizer,Kelbi Horn,55,"[{'quantity': 1, 'chance': 100}]",
Lifepowder,Lifecrystals,Wyvern Claw,65,"[{'quantity': 1, 'chance': 100}]",
Catalyst,Bitterbug,Honey,75,"[{'quantity': 1, 'chance': 100}]",
Immunizer,Dragon Toadstool,Catalyst,75,"[{'quantity': 1, 'chance': 100}]",
Cleanser,Popfish,Catalyst,90,"[{'quantity': 1, 'chance': 100}]",
Dash Juice,Catalyst,Rare Steak,75,"[{'quantity': 1, 'chance': 100}]",
Mega Dash Juice,Dash Extract,Well-done Steak,65,"[{'quantity': 1, 'chance': 100}]",
Energy Drink,Nitroshroom,Honey,75,"[{'quantity': 1, 'chance': 100}]",
Hunter's Drink,Hyper Extract,Catalyst,65,"[{'quantity': 1, 'chance': 100}]",
Demondrug,Catalyst,Might Seed,65,"[{'quantity': 1, 'chance': 100}]",
Mega Demondrug,Pale Extract,Demondrug,55,"[{'quantity': 1, 'chance': 100}]",
Might Pill,Immunizer,Might Seed,75,"[{'quantity': 1, 'chance': 100}]",
Armorskin,Catalyst,Adamant Seed,65,"[{'quantity': 1, 'chance': 100}]",
Mega Armorskin,Pale Extract,Armorskin,55,"[{'quantity': 1, 'chance': 100}]",
Adamant Pill,Immunizer,Adamant Seed,75,"[{'quantity': 1, 'chance': 100}]",
Hot Drink,Hot Pepper,Bitterbug,90,"[{'quantity': 1, 'chance': 100}]",
Hot Meat,Well-done Steak,Hot Pepper,95,"[{'quantity': 1, 'chance': 100}]",
Cool Drink,Ice Crystal,Bitterbug,90,"[{'quantity': 1, 'chance': 100}]",
Chilled Meat,Well-done Steak,Ice Crystal,95,"[{'quantity': 1, 'chance': 100}]",
Spicy Mushroom,Unique Mushroom,Hot Pepper,90,"[{'quantity': 1, 'chance': 100}]",
Frozen Berry,Tropical Berry,Ice Crystal,90,"[{'quantity': 1, 'chance': 100}]",
Poisoned Meat,Raw Meat,Toadstool,90,"[{'quantity': 1, 'chance': 100}]",Speed Setup
Tinged Meat,Raw Meat,Parashroom,90,"[{'quantity': 1, 'chance': 100}]",Speed Setup
Drugged Meat,Raw Meat,Sleep Herb,90,"[{'quantity': 1, 'chance': 100}]",Speed Setup
Bomb Casing,Stone,Sap Plant,95,"[{'quantity': 1, 'chance': 100}]",
Deodorant,Bomb Casing,Bitterbug,95,"[{'quantity': 1, 'chance': 100}]",
Smoke Bomb,Bomb Casing,Ivy,75,"[{'quantity': 1, 'chance': 100}]",
Poison Smoke Bomb,Bomb Casing,Toadstool,75,"[{'quantity': 1, 'chance': 100}]",
Flash Bomb,Bomb Casing,Flashbug,75,"[{'quantity': 1, 'chance': 100}]",
Dung Bomb,Bomb Casing,Dung,75,"[{'quantity': 1, 'chance': 100}]",Biology
Paintball,Paintberry,Sap Plant,95,"[{'quantity': 1, 'chance': 100}]",
Farcaster,Bomb Casing,Exciteshroom,95,"[{'quantity': 1, 'chance': 100}]",
Gunpowder,Fire Herb,Nitroshroom,95,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
Barrel Bomb S,Fire Herb,Small Barrel,90,"[{'quantity': 1, 'chance': 100}]",Bomb Boost
