chance,map,area,rank,node,appear_chance,min,max,name,amount,item
70,J. Frontier,1,low,1,,8,10,Whetstone,1,
15,J. Frontier,1,low,1,,8,10,Stone,1,
10,J. Frontier,1,low,1,,8,10,Stone,2,
5,J. Frontier,1,low,1,,8,10,Worm,1,
30,J. Frontier,1,low,2,,6,8,Herb,1,
25,J. Frontier,1,low,2,,6,8,Unique Fern,1,
20,J. Frontier,1,low,2,,6,8,Herb,2,
20,J. Frontier,1,low,2,,6,8,Antidote Herb,1,
5,J. Frontier,1,low,2,,6,8,Felvine,1,
36,J. Frontier,1,low,3,,3,5,Huskberry,3,
20,J. Frontier,1,low,3,,3,5,Needleberry,2,
15,J. Frontier,1,low,3,,3,5,Paintberry,3,
15,J. Frontier,1,low,3,,3,5,Needleberry,4,
14,J. Frontier,1,low,3,,3,5,Huskberry,8,
31,J. Frontier,1,low,4,,4,6,Power Jelly,1,
31,J. Frontier,1,low,4,,4,6,Heavy Jelly,1,
31,J. Frontier,1,low,4,,4,6,Speed Jelly,1,
7,J. Frontier,1,low,4,,4,6,Larval Extract,1,
87,J. Frontier,1,low,5,,1,1,Honey,1,
8,J. Frontier,1,low,5,,1,1,Snakebee Larva,1,
5,J. Frontier,1,low,5,,1,1,Insect Husk,1,
35,J. Frontier,1,low,6,80,2,4,Flashbug,1,
25,J. Frontier,1,low,6,80,2,4,Carpenterbug,1,
25,J. Frontier,1,low,6,80,2,4,Immortal Moth,1,
10,J. Frontier,1,low,6,80,2,4,Worm,1,
5,J. Frontier,1,low,6,80,2,4,Thunderbug,1,
35,J. Frontier,1,low,7,20,2,4,Godbug,1,
25,J. Frontier,1,low,7,20,2,4,Thunderbug,1,
15,J. Frontier,1,low,7,20,2,4,Bitterbug,1,
15,J. Frontier,1,low,7,20,2,4,Carpenterbug,1,
10,J. Frontier,1,low,7,20,2,4,Flashbug,1,
25,J. Frontier,1,low,8,80,3,5,Nulberry,1,
25,J. Frontier,1,low,8,80,3,5,Needleberry,1,
20,J. Frontier,1,low,8,80,3,5,Paintberry,1,
15,J. Frontier,1,low,8,80,3,5,Scatternut,1,
15,J. Frontier,1,low,8,80,3,5,Latchberry,1,
35,J. Frontier,1,low,9,20,3,5,Latchberry,1,
25,J. Frontier,1,low,9,20,3,5,Nulberry,1,
20,J. Frontier,1,low,9,20,3,5,Paintberry,2,
15,J. Frontier,1,low,9,20,3,5,Scatternut,1,
5,J. Frontier,1,low,9,20,3,5,Insect Husk,1,
70,J. Frontier,1,high,1,,8,10,Whetstone,1,
20,J. Frontier,1,high,1,,8,10,Stone,2,
5,J. Frontier,1,high,1,,8,10,Worm,1,
5,J. Frontier,1,high,1,,8,10,Stone,1,
30,J. Frontier,1,high,2,,6,8,Herb,1,
20,J. Frontier,1,high,2,,6,8,Herb,2,
20,J. Frontier,1,high,2,,6,8,Antidote Herb,1,
20,J. Frontier,1,high,2,,6,8,Unique Fern,1,
5,J. Frontier,1,high,2,,6,8,Felvine,1,
5,J. Frontier,1,high,2,,6,8,Choice Fern,1,
36,J. Frontier,1,high,3,,3,5,Huskberry,3,
20,J. Frontier,1,high,3,,3,5,Needleberry,2,
15,J. Frontier,1,high,3,,3,5,Paintberry,3,
15,J. Frontier,1,high,3,,3,5,Needleberry,4,
14,J. Frontier,1,high,3,,3,5,Huskberry,8,
29,J. Frontier,1,high,4,,4,6,Power Jelly,1,
29,J. Frontier,1,high,4,,4,6,Heavy Jelly,1,
29,J. Frontier,1,high,4,,4,6,Speed Jelly,1,
7,J. Frontier,1,high,4,,4,6,Larval Extract,1,
6,J. Frontier,1,high,4,,4,6,Paralarval Extract,1,
87,J. Frontier,1,high,5,,1,1,Honey,1,
8,J. Frontier,1,high,5,,1,1,Snakebee Larva,1,
5,J. Frontier,1,high,5,,1,1,Insect Husk,1,
100,J. Frontier,1,high,6,,2,3,Burned Husk,1,
25,J. Frontier,1,high,7,80,2,4,Carpenterbug,1,
20,J. Frontier,1,high,7,80,2,4,Flashbug,1,
20,J. Frontier,1,high,7,80,2,4,King Scarab,1,
15,J. Frontier,1,high,7,80,2,4,Immortal Moth,1,
10,J. Frontier,1,high,7,80,2,4,Hercudrome,1,
5,J. Frontier,1,high,7,80,2,4,Worm,2,
5,J. Frontier,1,high,7,80,2,4,Thunderbug,1,
20,J. Frontier,1,high,8,20,2,4,Godbug,1,
15,J. Frontier,1,high,8,20,2,4,Bitterbug,1,
15,J. Frontier,1,high,8,20,2,4,Hercudrome,1,
15,J. Frontier,1,high,8,20,2,4,King Scarab,1,
15,J. Frontier,1,high,8,20,2,4,Large Immortal Moth,1,
10,J. Frontier,1,high,8,20,2,4,Flashbug,1,
10,J. Frontier,1,high,8,20,2,4,Thunderbug,1,
25,J. Frontier,1,high,9,80,3,5,Nulberry,1,
25,J. Frontier,1,high,9,80,3,5,Needleberry,1,
20,J. Frontier,1,high,9,80,3,5,Paintberry,1,
15,J. Frontier,1,high,9,80,3,5,Scatternut,1,
15,J. Frontier,1,high,9,80,3,5,Latchberry,1,
35,J. Frontier,1,high,10,20,3,5,Latchberry,1,
25,J. Frontier,1,high,10,20,3,5,Nulberry,1,
20,J. Frontier,1,high,10,20,3,5,Paintberry,2,
