skill,ability,points,description
Poison,Negate Poison,10,Weakens the effects of Deadly Poison and completely prevents lesser Poisons.
Poison,Double Poison,-10,Doubles the damage received from Poison.
Paralysis,Negate Paralysis,10,Prevents Paralysis.
Paralysis,Double Paralysis,-10,Doubles the duration of Paralysis.
Sleep,Negate Sleep,10,Prevents Sleep.
Sleep,Double Sleep,-10,Doubles the duration of Sleep.
Stun,Negate Stun,15,Prevents Stun.
Stun,Halve Stun,10,Reduces the likelihood of being Stunned by 50%.
Stun,Double Stun,-10,Makes it harder to recover from being Stunned.
Hearing,HG Earplugs,15,Negates the effects of all large monsters' roars.
Hearing,Earplugs,10,Negates the effects of some large monsters' roars.
Wind Res,Windproof (Hi),15,Negates Wind Pressure from almost all monsters.
Wind Res,Windproof (Lo),10,Lessens almost all Wind Pressure.
Tremor Res,Tremor Res,10,Prevents staggering from tremors created by large monsters.
Bind Res,Negate Bind,10,Negates the effects of Bind statuses such as Snowman and bubbles that impede movement.
Heat Res,Heat Cancel,10,Negates the damage incurred from heat and lava.
Heat Res,Heat Surge,-10,Increases the amount of Health lost due to heat.
Cold Res,Cold Cancel,10,Negates all cold.
Cold Res,Cold Surge,-10,Increases the speed at which your maximum Stamina depletes from cold.
ColdBlooded,Polar Hunter,10,Powers you up in the cold. If you drink a Cool Drink...
HotBlooded,Tropic Hunter,10,Powers you up in the heat. If you drink a Hot Drink...
Anti-Theft,Anti-Theft,10,Prevents item theft.
Def Lock,Iron Skin,10,Negates the effects of Defense Down.
Frenzy Res,Antivirus,10,Makes it harder to become Frenzied and enhances recovery.
Biology,Bio Master,15,"Increases Dung Bomb efficacy, prevents Stench and Blastblight, and delays Virus onset."
Biology,Bio Researcher,10,"Increases Dung Bomb efficacy, and prevents Stench and Blastblight."
Bleeding,Negate Bleeding,10,Prevents Bleeding.
Bleeding,Double Bleeding,-10,Doubles the damage received from Bleeding.
Attack,Attack Up (L),20,Greatly increases Attack.
Attack,Attack Up (M),15,Increases Attack.
Attack,Attack Up (S),10,Slightly increases Attack.
Attack,Attack Down (S),-10,Slightly decreases Attack.
Attack,Attack Down (M),-15,Decreases Attack.
Attack,Attack Down (L),-20,Greatly decreases Attack.
Defense,Defense Up (L),20,Greatly increases Defense.
Defense,Defense Up (M),15,Increases Defense.
Defense,Defense Up (S),10,Slightly increases Defense.
Defense,Defense Down (S),-10,Slightly decreases Defense.
Defense,Defense Down (M),-15,Decreases Defense.
Defense,Defense Down (L),-20,Greatly decreases Defense.
Health,Health +50,15,Increases maximum Health by 50.
Health,Health +20,10,Increases maximum Health by 20.
Health,Health -10,-10,Decreases maximum Health by 10.
Health,Health -30,-15,Decreases maximum Health by 30.
Fire Res,Fire Res +20,15,Increases Fire Resistance by 20.
Fire Res,Fire Res +15,10,Increases Fire Resistance by 15.
Fire Res,Fire Res -20,-10,Decreases Fire Resistance by 20.
Water Res,Water Res +20,15,Increases Water Resistance by 20.
Water Res,Water Res +15,10,Increases Water Resistance by 15.
Water Res,Water Res -20,-10,Decreases Water Resistance by 20.
Thunder Res,Thunder Res +20,15,Increases Thunder Resistance by 20.
Thunder Res,Thunder Res +15,10,Increases Thunder Resistance by 15.
Thunder Res,Thunder Res -20,-10,Decreases Thunder Resistance by 20.
Ice Res,Ice Res +20,15,Increases Ice Resistance by 20.
Ice Res,Ice Res +15,10,Increases Ice Resistance by 15.
Ice Res,Ice Res -20,-10,Decreases Ice Resistance by 20.
Dragon Res,Dragon Res +20,15,Increases Dragon Resistance by 20.
Dragon Res,Dragon Res +15,10,Increases Dragon Resistance by 15.
Dragon Res,Dragon Res -20,-10,Decreases Dragon Resistance by 20.
Blight Res,Blightproof,10,"Negates all elemental blights (Fire, Water, Thunder, Ice, and Dragon)."
Fire Atk,Fire Atk +2,15,Greatly increases the power of Fire attacks and Flaming shots (Flaming S).
Fire Atk,Fire Atk +1,10,Increases the power of Fire attacks and Flaming shots (Flaming S).
Fire Atk,Fire Atk Down,-10,Decreases the power of Fire attacks and Flaming shots (Flaming S).
Water Atk,Water Atk +2,15,Greatly increases the power of Water attacks and Water shots (Water S).
Water Atk,Water Atk +1,10,Increases the power of Water attacks and Water shots (Water S).
Water Atk,Water Atk Down,-10,Decreases the power of Water attacks and Water shots (Water S).
Thunder Atk,Thunder Atk +2,15,Greatly increases the power of Thunder attacks and Thunder shots (Thunder S).
Thunder Atk,Thunder Atk +1,10,Increases the power of Thunder attacks and Thunder shots (Thunder S).
Thunder Atk,Thunder Atk Down,-10,Decreases the power of Thunder attacks and Thunder shots (Thunder S).
Ice Atk,Ice Atk +2,15,Greatly increases the power of Ice attacks and Freeze shots (Freeze S).
Ice Atk,Ice Atk +1,10,Increases the power of Ice attacks and Freeze shots (Freeze S).
Ice Atk,Ice Atk Down,-10,Decreases the power of Ice attacks and Freeze shots (Freeze S).
Dragon Atk,Dragon Atk +2,15,Greatly increases the power of Dragon attacks and Dragon shots (Dragon S).
Dragon Atk,Dragon Atk +1,10,Increases the power of Dragon attacks and Dragon shots (Dragon S).
Dragon Atk,Dragon Atk Down,-10,Decreases the power of Dragon attacks and Dragon shots (Dragon S).
Elemental,Element Atk Up,10,Increases the power of elemental attacks.
Elemental,Element Atk Down,-10,Decreases the power of elemental attacks.
Status,Status Atk +2,15,Increases the potency of abnormal status attacks.
Status,Status Atk +1,10,Slightly increases the potency of abnormal status attacks.
Status,Status Atk Down,-10,Decreases the potency of abnormal status attacks.
Sharpener,Speed Sharpening,10,Speeds up weapon sharpening.
Sharpener,Slow Sharpening,-10,Slows down weapon sharpening.
Handicraft,Sharpness +2,15,Increases the length of your weapon's Sharpness Gauge.
Handicraft,Sharpness +1,10,Slightly increases the length of your weapon's Sharpness Gauge.
Sharpness,Razor Sharp,10,Halves the rate at which your weapon loses Sharpness.
Sharpness,Blunt Edge,-10,Doubles the rate at which your weapon loses Sharpness.
Fencing,Mind's Eye,10,Prevents your attacks from being deflected.
Fencing,Blind Eye,-10,Causes your attacks to be deflected more easily.
Grinder,Heavy Polish,10,Use a whetstone to polish a weapon and briefly increase its strength.
Blunt,Bludgeoner,10,Increases Attack based on how low the Sharpness of your weapon is.
Crit Draw,Critical Draw,10,Increases Affinity for all draw attacks by 100%.
Punish Draw,Punishing Draw,10,"Can Stun monsters with draw attacks from cutting weapons, and slightly increases Attack."
Sheathing,Quick Sheath,10,Increases weapon-sheathing speed.
Sheathe Sharpen,Challenge Sheath,10,Sheathing when a monster is enraged gives a chance to sharpen your weapon.
Bladescale,Bladescale Hone,10,Dodging while weapon is drawn will have various special effects. Improves C.Range Coating for bows.
Reload Spd,Reload Speed +3,20,"Greatly speeds up Bowgun reloading, and auto-loads Bow coatings."
Reload Spd,Reload Speed +2,15,"Speeds up Bowgun reloading, and auto-loads Bow coatings."
Reload Spd,Reload Speed +1,10,"Slightly speeds up Bowgun reloading, and speeds up Bow-coating loading."
Reload Spd,Reload Speed -1,-10,Slightly slows down Bowgun reloading and Bow-coating loading.
Reload Spd,Reload Speed -2,-15,Slows down Bowgun reloading and Bow-coating loading.
Reload Spd,Reload Speed -3,-20,Greatly slows down Bowgun reloading and Bow-coating loading.
Recoil,Recoil Down +3,20,Greatly reduces Bowgun recoil.
Recoil,Recoil Down +2,15,Reduces Bowgun recoil.
Recoil,Recoil Down +1,10,Slightly reduces Bowgun recoil.
Recoil,Recoil Down -1,-10,Slightly increases Bowgun recoil.
Recoil,Recoil Down -2,-15,Increases Bowgun recoil.
Recoil,Recoil Down -3,-20,Greatly increases Bowgun recoil.
Precision,Steadiness +2,15,Greatly decreases Deviation when firing.
Precision,Steadiness +1,10,Decreases Deviation when firing.
Precision,Steadiness -1,-10,Increases Deviation when firing.
Precision,Steadiness -2,-15,Greatly increases Deviation when firing.
Normal Up,Normal/Rapid Up,10,Increases the power of Normal shots (Normal S) and Rapid-type arrows.
Pierce Up,Pierce/Pierce Up,10,Increases the power of Pierce shots (Pierce S) and Pierce-type arrows.
Pellet Up,Pellet/Spread Up,10,Increases the power of Pellet shots (Pellet S) and Spread-type arrows.
Heavy Up,Heavy/Heavy Up,10,Increases the power of Heavy shots (Heavy S) and Heavy arrows.
Normal S+,Use Any Normal S,10,Allows all levels of Normal shots (Normal S) to be loaded.
Pierce S+,Use Any Pierce S,15,Allows all levels of Pierce shots (Pierce S) to be loaded.
Pierce S+,Use Lv1 Pierce S,10,Allows Lv1 Pierce shots (Pierce S) to be loaded.
Pellet S+,Use Any Pellet S,15,Allows all levels of Pellet shots (Pellet S) to be loaded.
Pellet S+,Use Lv1 Pellet S,10,Allows Lv1 Pellet shots (Pellet S) to be loaded.
Crag S+,Use Any Crag S,15,Allows all levels of Crag shots (Crag S) to be loaded.
Crag S+,Use Lv1 Crag S,10,Allows Lv1 Crag shots (Crag S) to be loaded.
Clust S+,Use Any Clust S,15,Allows all levels of Cluster shots (Clust S) to be loaded.
Clust S+,Use Lv1 Clust S,10,Allows Lv1 Cluster shots (Clust S) to be loaded.
Poison C+,Use Poison Coat,10,Allows Poison coatings to be set when equipped with a Bow.
Para C+,Use Para Coat,10,Allows Paralysis coatings to be set when equipped with a Bow.
Sleep C+,Use Sleep Coat,10,Allows Sleep coatings to be set when equipped with a Bow.
Power C+,Power Phial (All),15,Allows Power coatings of all levels to be set when wielding a Bow.
Power C+,Power Phial (Lv1),10,Allows Lv1 Power coatings to be set when wielding a Bow.
Elem C+,Element Phial (All),15,Allows Elemental coatings of all levels to be set when wielding a Bow.
Elem C+,Element Phial (Lv1),10,Allows Elem Coating Lv1 to be set when wielding a Bow.
C.Range C+,Use C.Range Coat,10,Allows Close-range coatings to be set when equipped with a Bow.
Exhaust C+,Use Exhaust Coat,10,Allows Exhaust coatings to be set when equipped with a Bow.
Blast C+,Use Blast Coat,10,Allows Blast coatings to be set when equipped with a Bow.
Rapid Fire,Bonus Shot,10,Allows one extra shot to be fired while Rapid Firing.
Dead Eye,Shot Booster,10,Prolongs the time window certain ammo and arrows can hit at maximum power.
Loading,Load Up,10,"Increases Bowgun and Gunlance ammo, Bow charge levels, and Charge Blade energy."
